State,Year,Quarter,Renewable,Non-Renewable,Others
ANDHRA PRADESH,2020,2,153000.84999999998,179098.33000000002,3403.72
ANDHRA PRADESH,2020,3,193657.53,200838.36,5573.34
ANDHRA PRADESH,2020,4,130039.12,185074.13999999998,7558.73
ANDHRA PRADESH,2021,1,130110.84,301102.46,7328.75
ANDHRA PRADESH,2021,2,158564.16999999998,234577.11,3568.38
ANDHRA PRADESH,2021,3,216876.36,247201.64,6787.93
ANDHRA PRADESH,2021,4,129585.43000000001,234439.58000000002,7946.67
ANDHRA PRADESH,2022,1,126498.75,296854.11,7273.3
ANDHRA PRADESH,2022,2,162230.36,322837.11,10207.07
ANDHRA PRADESH,2022,3,243766.64,292434.61,9337.07
ANDHRA PRADESH,2022,4,134371.64,281283.32999999996,10370.43
ANDHRA PRADESH,2023,1,134348.34999999998,346764.57,9210.79
ANDHRA PRADESH,2023,2,153352.12,394847.96,7020.05
ANDHRA PRADESH,2023,3,57886.64,98571.64,1997.06
BIHAR,2020,2,2135.82,13128.32,365.84
BIHAR,2020,3,1754.99,18375.82,4.16
BIHAR,2020,4,1775.43,5452.88,1345.41
BIHAR,2021,1,2000.02,27371.65,2684.56
BIHAR,2021,2,2053.29,25067.07,142.08
BIHAR,2021,3,1820.83,22373.33,0.0
BIHAR,2021,4,1194.17,16103.73,568.75
BIHAR,2022,1,2072.15,29373.3,2268.29
BIHAR,2022,2,2257.49,34292.5,20.0
BIHAR,2022,3,1968.32,33527.49,0.0
BIHAR,2022,4,1945.37,37057.09,1870.44
BIHAR,2023,1,2408.81,36176.21,3887.51
BIHAR,2023,2,2798.75,35158.37,565.0
BIHAR,2023,3,677.43,8746.27,0.0
CHANDIGARH,2020,2,0.0,0.0,0.0
CHANDIGARH,2020,3,0.0,0.0,0.0
CHANDIGARH,2020,4,0.0,0.0,0.0
CHANDIGARH,2021,1,0.0,0.0,0.0
CHANDIGARH,2021,2,0.0,0.0,0.0
CHANDIGARH,2021,3,0.0,0.0,0.0
CHANDIGARH,2021,4,0.0,0.0,0.0
CHANDIGARH,2022,1,0.0,0.0,0.0
CHANDIGARH,2022,2,0.0,0.0,0.0
CHANDIGARH,2022,3,0.0,0.0,0.0
CHANDIGARH,2022,4,0.0,0.0,0.0
CHANDIGARH,2023,1,0.0,0.0,0.0
CHANDIGARH,2023,2,0.0,0.0,0.0
CHANDIGARH,2023,3,0.0,0.0,0.0
CHHATTISGARH,2020,2,3904.33,197591.64,0.0
CHHATTISGARH,2020,3,12404.27,214050.01,0.0
CHHATTISGARH,2020,4,3866.55,203566.63,0.0
CHHATTISGARH,2021,1,5604.3,179679.13,0.0
CHHATTISGARH,2021,2,3929.2799999999997,190399.98,0.0
CHHATTISGARH,2021,3,9304.25,174495.84,0.0
CHHATTISGARH,2021,4,7362.48,179883.36,0.0
CHHATTISGARH,2022,1,6575.08,204537.51,0.0
CHHATTISGARH,2022,2,5929.16,196662.5,0.0
CHHATTISGARH,2022,3,7291.610000000001,175470.87,0.0
CHHATTISGARH,2022,4,7250.120000000001,194108.35,0.0
CHHATTISGARH,2023,1,8133.31,183329.16,0.0
CHHATTISGARH,2023,2,7562.42,201441.65,0.0
CHHATTISGARH,2023,3,1441.75,45670.87,0.0
DELHI,2020,2,45.83,52839.59,2547.48
DELHI,2020,3,21.67,48672.08,2570.44
DELHI,2020,4,0.0,59208.79,2417.11
DELHI,2021,1,0.0,49070.02,2100.01
DELHI,2021,2,0.0,55982.06,2035.84
DELHI,2021,3,45.42,48107.06,2490.43
DELHI,2021,4,0.0,50414.61,3003.32
DELHI,2022,1,30.0,42410.83,2748.37
DELHI,2022,2,0.0,55114.59,2662.47
DELHI,2022,3,0.0,42561.27,3634.59
DELHI,2022,4,0.0,23406.67,3005.8
DELHI,2023,1,0.0,25722.49,4924.95
DELHI,2023,2,0.0,16868.88,4689.56
DELHI,2023,3,0.0,10094.65,3940.06
GOA,2020,2,0.0,1279.1,0.0
GOA,2020,3,0.0,1924.95,0.0
