State,Year,Quarter,Produced,Demand Met
ANDHRA PRADESH,2020,2,335502.89999999997,643817.97
ANDHRA PRADESH,2020,3,400069.23000000004,616527.92
ANDHRA PRADESH,2020,4,322671.99,597848.74
ANDHRA PRADESH,2021,1,438542.05000000005,717109.16
ANDHRA PRADESH,2021,2,396709.66,738463.76
ANDHRA PRADESH,2021,3,470865.93,702730.38
ANDHRA PRADESH,2021,4,371971.68,646398.35
ANDHRA PRADESH,2022,1,430626.16,741548.31
ANDHRA PRADESH,2022,2,495274.54,773994.19
ANDHRA PRADESH,2022,3,545538.32,742174.18
ANDHRA PRADESH,2022,4,426025.4,683031.68
ANDHRA PRADESH,2023,1,490323.70999999996,793166.25
ANDHRA PRADESH,2023,2,555220.1300000001,843808.35
ANDHRA PRADESH,2023,3,158455.34,209665.02
BIHAR,2020,2,13128.32,330525.8
BIHAR,2020,3,18375.82,415403.31
BIHAR,2020,4,5452.88,326923.33
BIHAR,2021,1,27371.65,331677.09
BIHAR,2021,2,25067.07,388458.7
BIHAR,2021,3,22373.33,454611.24
BIHAR,2021,4,16103.73,218230.81
BIHAR,2022,1,29373.3,334040.81
BIHAR,2022,2,34292.5,445559.18
BIHAR,2022,3,33527.49,496826.67
BIHAR,2022,4,37057.09,343380.04
BIHAR,2023,1,36176.21,346384.57
BIHAR,2023,2,35158.37,454951.66
BIHAR,2023,3,8746.27,140935.84
CHANDIGARH,2020,2,0.0,14701.24977
CHANDIGARH,2020,3,0.0,21190.4169
CHANDIGARH,2020,4,0.0,12876.2499
CHANDIGARH,2021,1,0.0,13063.75
CHANDIGARH,2021,2,0.0,16664.9995
CHANDIGARH,2021,3,0.0,22804.5837
CHANDIGARH,2021,4,0.0,13179.5829
CHANDIGARH,2022,1,0.0,13550.8334
CHANDIGARH,2022,2,0.0,21330.8332
CHANDIGARH,2022,3,0.0,24011.2496
CHANDIGARH,2022,4,0.0,13024.1665
CHANDIGARH,2023,1,0.0,13491.2498
CHANDIGARH,2023,2,0.0,13365.0064
CHANDIGARH,2023,3,0.0,12300.51
CHHATTISGARH,2020,2,197591.64,288291.72
CHHATTISGARH,2020,3,214050.01,348412.48
CHHATTISGARH,2020,4,203566.63,302883.31
CHHATTISGARH,2021,1,179679.13,364958.33
CHHATTISGARH,2021,2,190399.98,332199.99
CHHATTISGARH,2021,3,174495.84,371220.83
CHHATTISGARH,2021,4,179883.36,313718.31
CHHATTISGARH,2022,1,204537.51,359940.0
CHHATTISGARH,2022,2,196662.5,410370.86
CHHATTISGARH,2022,3,175470.87,391945.01
CHHATTISGARH,2022,4,194108.35,355995.82
CHHATTISGARH,2023,1,183329.16,406746.64
CHHATTISGARH,2023,2,201441.65,389400.9
CHHATTISGARH,2023,3,45670.87,106945.86
DELHI,2020,2,0.0,299020.832
DELHI,2020,3,0.0,397261.249
DELHI,2020,4,0.0,259112.918
DELHI,2021,1,0.0,252083.747
DELHI,2021,2,0.0,325279.164
DELHI,2021,3,0.0,421888.332
DELHI,2021,4,0.0,264783.33
DELHI,2022,1,0.0,262237.917
DELHI,2022,2,0.0,437036.669
DELHI,2022,3,0.0,453215.834
DELHI,2022,4,0.0,259757.495
DELHI,2023,1,0.0,256844.169
DELHI,2023,2,0.0,290048.373
DELHI,2023,3,0.0,273164.21
GOA,2020,2,1279.1,16.68
GOA,2020,3,1924.95,8.34
GOA,2020,4,1579.14,29.17
GOA,2021,1,1766.53,20.85
GOA,2021,2,1816.59,54.17
GOA,2021,3,2179.2200000000003,33.34
GOA,2021,4,2320.9,68.35
GOA,2022,1,1341.63,322.07
GOA,2022,2,1404.15,167.09
GOA,2022,3,483.38,14.58
GOA,2022,4,1775.0,42.48
GOA,2023,1,1316.65,30.0
GOA,2023,2,1524.93,69.17
GOA,2023,3,350.04,0.0
GUJARAT,2020,2,595208.331,26283.3
GUJARAT,2020,3,624700.008,26046.0
GUJARAT,2020,4,905225.003,31359.3
GUJARAT,2021,1,724525.001,32300.0
GUJARAT,2021,2,647045.834,31156.6
GUJARAT,2021,3,471983.33,31650.5
GUJARAT,2021,4,386120.831,31238.31
GUJARAT,2022,1,442666.668,33072.85
GUJARAT,2022,2,582591.665,38501.33
GUJARAT,2022,3,342420.83400000003,31350.52
GUJARAT,2022,4,412120.834,35596.4
GUJARAT,2023,1,465962.503,34314.19
GUJARAT,2023,2,567991.682,86583.72
GUJARAT,2023,3,116866.65,340695.84
HARYANA,2020,2,58595.41692,483039.58
HARYANA,2020,3,112456.2522,712425.001
HARYANA,2020,4,71871.2531,501400.832
HARYANA,2021,1,151865.002,479169.999
HARYANA,2021,2,123555.83277,568561.6630000001
HARYANA,2021,3,155246.2519,737962.501
HARYANA,2021,4,143429.5806,495211.253
HARYANA,2022,1,180685.834,472617.5
HARYANA,2022,2,227491.668,689009.586
HARYANA,2022,3,250195.003,799298.328
HARYANA,2022,4,214232.081,499525.418
HARYANA,2023,1,203096.253,486454.583
HARYANA,2023,2,188631.628,638802.914
HARYANA,2023,3,101709.61,474207.07
HIMACHAL PRADESH,2020,2,81860.00046499999,77326.6663
HIMACHAL PRADESH,2020,3,117846.249534,110278.3326
HIMACHAL PRADESH,2020,4,35181.666603,111481.2483
HIMACHAL PRADESH,2021,1,2631.249963,116564.169
HIMACHAL PRADESH,2021,2,0.0,107258.334
HIMACHAL PRADESH,2021,3,0.0,116004.166
HIMACHAL PRADESH,2021,4,0.0,119162.083
HIMACHAL PRADESH,2022,1,0.0,120767.5013
HIMACHAL PRADESH,2022,2,0.0,121697.917
HIMACHAL PRADESH,2022,3,0.0,122119.584
HIMACHAL PRADESH,2022,4,0.0,116124.5826
HIMACHAL PRADESH,2023,1,0.0,117130.8347
HIMACHAL PRADESH,2023,2,0.0,112463.743
HIMACHAL PRADESH,2023,3,0.0,69540.81999999999
J&K(UT) & Ladakh(UT),2020,2,69153.7498,198037.089
J&K(UT) & Ladakh(UT),2020,3,80679.1657,174860.413
J&K(UT) & Ladakh(UT),2020,4,28740.4167,198254.163
J&K(UT) & Ladakh(UT),2021,1,23027.916800000003,232774.168
J&K(UT) & Ladakh(UT),2021,2,67704.1666,201564.998
J&K(UT) & Ladakh(UT),2021,3,91393.3351,186402.502
J&K(UT) & Ladakh(UT),2021,4,29672.08367,210709.998
J&K(UT) & Ladakh(UT),2022,1,24594.5834,227821.246
J&K(UT) & Ladakh(UT),2022,2,66640.8337,186588.334
J&K(UT) & Ladakh(UT),2022,3,91038.7501,190310.415
J&K(UT) & Ladakh(UT),2022,4,23993.33386,197528.337
J&K(UT) & Ladakh(UT),2023,1,22825.833,210845.414
J&K(UT) & Ladakh(UT),2023,2,52951.2121,165174.112
J&K(UT) & Ladakh(UT),2023,3,50710.83,106040.85
JHARKHAND,2020,2,23846.7,92363.77
JHARKHAND,2020,3,22992.95,109570.01
JHARKHAND,2020,4,21880.39,105209.61
JHARKHAND,2021,1,23538.33,104412.52
JHARKHAND,2021,2,15501.22,109697.1
JHARKHAND,2021,3,13522.87,115559.98
JHARKHAND,2021,4,11171.68,71646.20999999999
JHARKHAND,2022,1,27075.01,117310.77
JHARKHAND,2022,2,26852.88,130157.91
JHARKHAND,2022,3,27187.9,127715.84
JHARKHAND,2022,4,27536.24,119264.13
JHARKHAND,2023,1,24860.38,114342.49
JHARKHAND,2023,2,23646.65,130865.87
JHARKHAND,2023,3,7411.2,38397.11
KARNATAKA,2020,2,489664.99,727543.73
KARNATAKA,2020,3,401764.10000000003,599239.59
