,Date,State,Thermal,Hydro,Gas/Diesel/Naptha,Wind,Day,Month,Year
0,10-07-2023,BIHAR,423.75,0.0,0.0,27.08,10,7,2023
6,09-07-2023,BIHAR,320.42,0.0,0.0,30.83,9,7,2023
16,06-07-2023,BIHAR,370.83,0.0,0.0,27.08,6,7,2023
20,05-07-2023,BIHAR,199.17,0.0,0.0,24.58,5,7,2023
21,04-07-2023,BIHAR,205.0,0.0,0.0,20.42,4,7,2023
22,03-07-2023,BIHAR,362.5,0.0,0.0,11.25,3,7,2023
23,02-07-2023,BIHAR,351.25,0.0,0.0,20.83,2,7,2023
24,01-07-2023,BIHAR,398.33,0.0,0.0,21.25,1,7,2023
25,29-06-2023,BIHAR,376.25,0.0,0.0,9.17,29,6,2023
26,28-06-2023,BIHAR,338.33,0.0,0.0,16.67,28,6,2023
27,27-06-2023,BIHAR,304.17,0.0,0.0,20.0,27,6,2023
28,26-06-2023,BIHAR,367.5,0.0,0.0,23.75,26,6,2023
29,25-06-2023,BIHAR,321.67,0.0,0.0,28.33,25,6,2023
30,24-06-2023,BIHAR,186.67,0.0,0.0,29.58,24,6,2023
31,23-06-2023,BIHAR,240.42,0.0,0.0,28.33,23,6,2023
32,22-06-2023,BIHAR,421.25,0.0,0.0,32.5,22,6,2023
33,21-06-2023,BIHAR,367.92,0.0,0.0,26.25,21,6,2023
34,20-06-2023,BIHAR,376.67,0.0,0.0,26.25,20,6,2023
35,19-06-2023,BIHAR,372.08,0.0,0.0,31.67,19,6,2023
36,18-06-2023,BIHAR,380.0,0.0,0.0,30.0,18,6,2023
37,17-06-2023,BIHAR,410.42,0.0,0.0,34.17,17,6,2023
38,16-06-2023,BIHAR,412.08,0.0,0.0,35.42,16,6,2023
39,15-06-2023,BIHAR,418.75,0.0,0.0,33.75,15,6,2023
40,14-06-2023,BIHAR,465.0,0.0,0.0,31.25,14,6,2023
41,13-06-2023,BIHAR,442.08,0.0,0.0,31.67,13,6,2023
42,12-06-2023,BIHAR,431.25,0.0,0.0,30.83,12,6,2023
43,11-06-2023,BIHAR,443.75,0.0,0.0,30.0,11,6,2023
44,10-06-2023,BIHAR,458.33,0.0,0.0,31.67,10,6,2023
